Economy,Indicator,Year,Value,Indicator_encoded,Economy_encoded,Indicator_group,Indicator_group_code
Brazil,Desktop computer,2014,28.2715,16,12,Device,0
Brazil,Laptop computer,2014,30.496,41,12,Device,0
Brazil,Tablet,2014,16.5186,53,12,Device,0
Colombia,Desktop computer,2014,27.4837,16,19,Device,0
Colombia,Laptop computer,2014,24.213,41,19,Device,0
Colombia,Tablet,2014,13.2596,53,19,Device,0
Egypt,Desktop computer,2014,45.5601,16,29,Device,0
Egypt,Laptop computer,2014,10.3553,41,29,Device,0
Egypt,Tablet,2014,1.15418,53,29,Device,0
"Hong Kong, China",Desktop computer,2014,59.0104,16,37,Device,0
"Hong Kong, China",Laptop computer,2014,48.0747,41,37,Device,0
"Hong Kong, China",Tablet,2014,40.2921,53,37,Device,0
Israel,Tablet,2014,36.2221,53,44,Device,0
Jamaica,Desktop computer,2014,12.5518,16,46,Device,0
Jamaica,Laptop computer,2014,24.6546,41,46,Device,0
Jamaica,Tablet,2014,1.02052,53,46,Device,0
Japan,Tablet,2014,26.3169,53,47,Device,0
Korea (Rep. of),Desktop computer,2014,70.1784,16,50,Device,0
Korea (Rep. of),Laptop computer,2014,30.4698,41,50,Device,0
Korea (Rep. of),Tablet,2014,8.72592,53,50,Device,0
"Macao, China",Desktop computer,2014,63.8186,16,56,Device,0
"Macao, China",Laptop computer,2014,45.0949,41,56,Device,0
"Macao, China",Tablet,2014,42.5633,53,56,Device,0
Morocco,Desktop computer,2014,24.5497,16,65,Device,0
Morocco,Laptop computer,2014,38.8673,41,65,Device,0
Morocco,Tablet,2014,11.7764,53,65,Device,0
Paraguay,Desktop computer,2014,31.0648,16,70,Device,0
Paraguay,Tablet,2014,5.85666,53,70,Device,0
Puerto Rico,Tablet,2014,10.5005,53,74,Device,0
Suriname,Desktop computer,2014,41.7667,16,85,Device,0
Thailand,Desktop computer,2014,20.3039,16,89,Device,0
Thailand,Laptop computer,2014,19.2972,41,89,Device,0
Thailand,Tablet,2014,11.5819,53,89,Device,0
United Arab Emirates,Desktop computer,2014,26.8,16,92,Device,0
United Arab Emirates,Laptop computer,2014,85.2,41,92,Device,0
Moldova,Information and communication equipment,2014,4.46992,35,62,Information and Media,1
Moldova,Information and communication services,2014,92.2264,36,62,Information and Media,1
Austria,Using copy and paste tools within a document,2014,68.5016,57,3,Skills,2
Austria,Creating electronic presentations with presentation software,2014,39.6165,15,3,Skills,2
Austria,Writing a computer program using a programming language,2014,11.8757,60,3,Skills,2
Austria,Digital content creation,2014,20.9493,17,3,Skills,2
Azerbaijan,Using copy and paste tools within a document,2014,56.6787,57,4,Skills,2
Azerbaijan,Using basic arithmetic formula in a spreadsheet,2014,18.4952,56,4,Skills,2
Azerbaijan,Creating electronic presentations with presentation software,2014,5.66787,15,4,Skills,2
Azerbaijan,Writing a computer program using a programming language,2014,0.59662,60,4,Skills,2
Bahrain,"Using software run over the Internet for editing text documents, spreadsheets or presentations",2014,6.66861,58,5,Skills,2
Bahrain,Digital content creation,2014,11.2588,17,5,Skills,2
Belgium,Using copy and paste tools within a document,2014,64.1078,57,8,Skills,2
Belgium,Using basic arithmetic formula in a spreadsheet,2014,42.5321,56,8,Skills,2
Belgium,Creating electronic presentations with presentation software,2014,35.9531,15,8,Skills,2
Belgium,Writing a computer program using a programming language,2014,9.20008,60,8,Skills,2
Belgium,Digital content creation,2014,22.172,17,8,Skills,2
Brazil,Using copy and paste tools within a document,2014,23.9953,57,12,Skills,2
Brazil,Using basic arithmetic formula in a spreadsheet,2014,15.4387,56,12,Skills,2
Brazil,Creating electronic presentations with presentation software,2014,12.0865,15,12,Skills,2
Brazil,Writing a computer program using a programming language,2014,5.63489,60,12,Skills,2
Brazil,Digital content creation,2014,21.9254,17,12,Skills,2
Bulgaria,Using copy and paste tools within a document,2014,45.7539,57,14,Skills,2
Bulgaria,Creating electronic presentations with presentation software,2014,9.10239,15,14,Skills,2
Bulgaria,Writing a computer program using a programming language,2014,4.51442,60,14,Skills,2
Bulgaria,Digital content creation,2014,19.4771,17,14,Skills,2
Croatia,Using copy and paste tools within a document,2014,44.2077,57,21,Skills,2
Croatia,Using basic arithmetic formula in a spreadsheet,2014,37.1045,56,21,Skills,2
Croatia,Creating electronic presentations with presentation software,2014,24.1182,15,21,Skills,2
Croatia,Writing a computer program using a programming language,2014,11.3559,60,21,Skills,2
Croatia,Digital content creation,2014,14.4738,17,21,Skills,2
Cyprus,Using basic arithmetic formula in a spreadsheet,2014,36.9357,56,23,Skills,2
Cyprus,Creating electronic presentations with presentation software,2014,28.4312,15,23,Skills,2
Cyprus,Writing a computer program using a programming language,2014,6.67646,60,23,Skills,2
Cyprus,Digital content creation,2014,42.5237,17,23,Skills,2
Czech Republic,Using copy and paste tools within a document,2014,55.4282,57,24,Skills,2
Czech Republic,Using basic arithmetic formula in a spreadsheet,2014,39.7537,56,24,Skills,2
Czech Republic,Creating electronic presentations with presentation software,2014,21.5751,15,24,Skills,2
Czech Republic,Writing a computer program using a programming language,2014,4.10176,60,24,Skills,2
Czech Republic,Digital content creation,2014,14.2359,17,24,Skills,2
Denmark,Using basic arithmetic formula in a spreadsheet,2014,58.0004,56,26,Skills,2
Denmark,Creating electronic presentations with presentation software,2014,49.4401,15,26,Skills,2
Denmark,Writing a computer program using a programming language,2014,11.6576,60,26,Skills,2
Denmark,Digital content creation,2014,51.1535,17,26,Skills,2
Egypt,Using copy and paste tools within a document,2014,6.77021,57,29,Skills,2
Egypt,Using basic arithmetic formula in a spreadsheet,2014,1.50351,56,29,Skills,2
Egypt,Creating electronic presentations with presentation software,2014,0.396262,15,29,Skills,2
Egypt,Writing a computer program using a programming language,2014,1.36924,60,29,Skills,2
Egypt,"Using software run over the Internet for editing text documents, spreadsheets or presentations",2014,0.125566,58,29,Skills,2
Egypt,Digital content creation,2014,0.322197,17,29,Skills,2
Estonia,Using copy and paste tools within a document,2014,71.1199,57,31,Skills,2
Estonia,Using basic arithmetic formula in a spreadsheet,2014,52.0751,56,31,Skills,2
Estonia,Creating electronic presentations with presentation software,2014,37.8943,15,31,Skills,2
Estonia,Writing a computer program using a programming language,2014,10.7738,60,31,Skills,2
Estonia,Digital content creation,2014,25.6416,17,31,Skills,2
Finland,Using basic arithmetic formula in a spreadsheet,2014,57.5913,56,32,Skills,2
Finland,Creating electronic presentations with presentation software,2014,52.2894,15,32,Skills,2
Finland,Writing a computer program using a programming language,2014,25.1191,60,32,Skills,2
France,Creating electronic presentations with presentation software,2014,40.5192,15,33,Skills,2
France,Writing a computer program using a programming language,2014,10.8635,60,33,Skills,2
Germany,Using copy and paste tools within a document,2014,73.5788,57,35,Skills,2
Germany,Using basic arithmetic formula in a spreadsheet,2014,47.9844,56,35,Skills,2
Germany,Creating electronic presentations with presentation software,2014,34.004,15,35,Skills,2
Germany,Writing a computer program using a programming language,2014,11.5774,60,35,Skills,2
Germany,Digital content creation,2014,23.2233,17,35,Skills,2
Greece,Using copy and paste tools within a document,2014,51.8608,57,36,Skills,2
Greece,Using basic arithmetic formula in a spreadsheet,2014,39.0542,56,36,Skills,2
Greece,Creating electronic presentations with presentation software,2014,26.3531,15,36,Skills,2
Greece,Writing a computer program using a programming language,2014,9.61988,60,36,Skills,2
Hungary,Using copy and paste tools within a document,2014,59.001,57,38,Skills,2
Hungary,Creating electronic presentations with presentation software,2014,17.1191,15,38,Skills,2
Hungary,Writing a computer program using a programming language,2014,6.5156,60,38,Skills,2
Hungary,Digital content creation,2014,36.769,17,38,Skills,2
Iceland,Using copy and paste tools within a document,2014,80.1717,57,39,Skills,2
Iceland,Using basic arithmetic formula in a spreadsheet,2014,69.1036,56,39,Skills,2
Iceland,Creating electronic presentations with presentation software,2014,58.2116,15,39,Skills,2
Iceland,Writing a computer program using a programming language,2014,18.282,60,39,Skills,2
Ireland,Using copy and paste tools within a document,2014,54.1762,57,43,Skills,2
Ireland,Using basic arithmetic formula in a spreadsheet,2014,40.0001,56,43,Skills,2
Ireland,Creating electronic presentations with presentation software,2014,24.3489,15,43,Skills,2
Ireland,Writing a computer program using a programming language,2014,7.96471,60,43,Skills,2
Italy,Using copy and paste tools within a document,2014,55.6073,57,45,Skills,2
Italy,Using basic arithmetic formula in a spreadsheet,2014,35.9481,56,45,Skills,2
Italy,Creating electronic presentations with presentation software,2014,25.1241,15,45,Skills,2
Italy,Writing a computer program using a programming language,2014,8.9111,60,45,Skills,2
Italy,Digital content creation,2014,19.2223,17,45,Skills,2
Japan,Digital content creation,2014,43.0786,17,47,Skills,2
Korea (Rep. of),"Using software run over the Internet for editing text documents, spreadsheets or presentations",2014,7.8653,58,50,Skills,2
Korea (Rep. of),Digital content creation,2014,2.59179,17,50,Skills,2
Latvia,Using basic arithmetic formula in a spreadsheet,2014,46.8045,56,52,Skills,2
Latvia,Creating electronic presentations with presentation software,2014,32.7019,15,52,Skills,2
Latvia,Writing a computer program using a programming language,2014,4.71562,60,52,Skills,2
Latvia,Digital content creation,2014,28.9238,17,52,Skills,2
